,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
76,STPG1,4.990554766,3.210297891,0.757056203,4.240501401,2.23021E-05,0.000179132
77,NIPAL3,64.55533495,1.16579825,0.363987938,3.20284858,0.001360755,0.006130502
78,CLIC4,96.13360443,-2.494413792,0.514665272,-4.846672058,1.2555E-06,1.43702E-05
79,SYF2,181.0181755,-0.448612465,0.163874357,-2.737539125,0.006190076,0.021593675
80,TMEM50A,201.6150942,0.670389666,0.201583239,3.325622054,0.000882215,0.00426262
81,MACO1,332.821059,-0.744997444,0.17951279,-4.150107874,3.32319E-05,0.000253051
82,LDLRAP1,6.363268751,2.12954791,0.605175756,3.51889164,0.000433354,0.002324488
83,MTFR1L,38.25445472,1.313678229,0.374042719,3.512107472,0.000444568,0.002374801
84,AUNIP,2.905104062,2.562973838,0.867646814,2.953936783,0.003137483,0.012211891
85,STMN1,279.0248415,0.849942276,0.253021043,3.359176244,0.000781752,0.003842954
86,PAFAH2,13.96043666,2.481554473,0.612914717,4.048776128,5.14862E-05,0.000371799
87,DHDDS-AS1,2.489861939,3.283313592,0.872073702,3.764949667,0.000166583,0.001028904
88,ARID1A,618.9905202,-1.037939491,0.141898396,-7.314666827,2.58021E-13,1.19289E-11
89,SLC9A1,39.24188103,-1.285586656,0.490750862,-2.619631986,0.00880247,0.028809269
90,WDTC1,51.25124342,-1.201053161,0.33202164,-3.617394217,0.000297584,0.001688954
91,TMEM222,28.92972269,1.035205881,0.335903185,3.081857889,0.00205713,0.008599424
92,RP4-752I6.1,3.492443312,4.071369026,0.94590067,4.304224699,1.67572E-05,0.000140771
93,FGR,18.16017647,1.390526354,0.560040855,2.482901634,0.013031707,0.039368832
94,IFI6,13.28013496,0.93389722,0.376441973,2.480853059,0.013106839,0.039534299
95,STX12,108.3919265,-1.092254403,0.308242016,-3.543496171,0.000394859,0.00215219
96,PTAFR,11.21112242,2.61015606,0.639728888,4.080097226,4.50169E-05,0.000330635
97,DNAJC8,138.0791864,0.894671837,0.209889937,4.262576129,2.02084E-05,0.000164699
98,ATP5IF1,154.5753902,0.893885361,0.196266541,4.554445996,5.25238E-06,4.98805E-05
99,SESN2,37.03335731,-1.741648816,0.548527837,-3.175132961,0.001497679,0.00665854
100,PHACTR4,353.3364566,-0.592458355,0.186170551,-3.18234195,0.001460892,0.006511544
