"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NFKBIZ",0.000295851021761152,1.81111547787698,1,0.857,1
"SWAP70",0.00029749996965494,-2.02402581970308,0.333,0.933,1
"OIT3",0.00030466373541398,3.57811516251879,0.333,0.038,1
"RP11-441O15.3",0.00030466373541398,4.46746078521238,0.333,0.038,1
"DUSP1",0.000317170808477923,3.42517536461783,1,0.829,1
"NDUFS2",0.000324410430521501,-2.05217942461978,0.778,0.924,1
"RP11-554D15.3",0.000331271047878451,4.78809702750589,0.444,0.067,1
"PKD2L1",0.000335727115102337,3.55783732778057,0.333,0.038,1
"NBDY",0.000337242547357085,-2.55025360343278,0.889,0.905,1
"PDLIM1",0.000337759219537525,-2.01706673722168,0.556,0.943,1
"PRMT1",0.000337759219537525,-0.792197352448561,0.556,0.943,1
"DENND5A",0.000339312642000373,1.48061636265373,1,0.99,1
"CKB",0.000342859186383876,4.17948307220698,0.444,0.076,1
"YBX3",0.000352409403747627,1.5464776726348,1,0.924,1
"SKIL",0.000361315921605737,4.02852292716817,0.667,0.2,1
"NAALADL1",0.000369734794548053,4.20699960555398,0.333,0.038,1
"CTC-251H24.14",0.000369734794548053,4.10092016552777,0.333,0.038,1
"NEDD8",0.000382310990750018,-2.21487131812939,0.778,0.962,1
"LINC02119",0.000406942109609328,3.58349427013142,0.333,0.038,1
"VPREB1",0.000406942109609328,3.58509039755764,0.333,0.038,1
"ATP10A",0.000416024730755344,-2.19355258460184,0,0.695,1
"CCDC137",0.000416024730755344,-2.76313795968269,0,0.695,1
"CRAT37",0.000419989608749286,2.94582363323554,0.556,0.114,1
"ACSL5",0.000444615041538771,-1.76237329017587,0.222,0.81,1
"RP11-27K13.3",0.000447624148008036,1.90236083490668,0.333,0.038,1
"H2BC18",0.000447624148008036,3.24579880608267,0.333,0.038,1
"BEX1",0.000447624148008036,3.5424635856782,0.333,0.038,1
"PPFIBP2",0.000448320004853834,3.44125891833933,0.556,0.124,1
"TBXAS1",0.000448461707005447,-1.74514916491877,0.778,0.981,1
"MT-CO3",0.000448581592069952,-1.59273883781788,1,1,1
"RP11-293M10.1",0.000459380878299444,3.98867150619206,0.556,0.143,1
"ECH1",0.000463915690476428,-2.14797302944958,0.667,0.924,1
"APBB1IP",0.000466638548070177,-1.69392619426281,0.889,1,1
"RPL22L1",0.000475906596359904,-1.68780172186249,0.889,0.99,1
"LYPLAL1",0.000480246001349093,-1.47390755138736,0.111,0.733,1
"IDH3B",0.000483834249788125,-1.99093018687657,0.667,0.943,1
"PRELID2",0.000484664204405238,-2.60106137843571,0.444,0.848,1
"GPX1",0.000485371813294438,-1.86069748813931,1,0.99,1
"CD109",0.000497067680436769,-2.58499664457556,0.444,0.857,1
"RASGRP3",0.000500287200266391,1.92335149755037,1,0.619,1
"EXOC6",0.000514777211352809,-1.63603127566824,0.889,0.99,1
"SLC24A3",0.000524473139946809,1.817712858316,1,0.686,1
"PAPOLA",0.000524960718783459,-1.62430265816476,1,0.99,1
"SMAD1",0.000531295559816309,3.22632249154615,0.556,0.133,1
"CDHR2",0.000540619375070753,4.96068508381621,0.333,0.038,1
"MFN1",0.000541165766930243,-1.49196733296747,0.111,0.733,1
"MIF",0.000545864871978773,-1.5162055133748,0.889,1,1
"CD44",0.000545864871978773,1.3886856447006,1,0.99,1
"NPM3",0.000547076846209396,-1.22647179429928,0.222,0.8,1
"KMT2E",0.000567542397310623,0.80422749748833,1,0.99,1
"CH17-373J23.1",0.000576435582812917,3.36730957051049,0.444,0.076,1
"PIM1",0.000581575021671317,-1.92777394498452,0.444,0.905,1
"RCL1",0.000604362818709555,-2.07943916174894,0.444,0.857,1
"STAT6",0.00060988367614439,-1.82493767417057,0.778,0.914,1
"ST6GALNAC5",0.000651367289496761,3.50943058139413,0.333,0.038,1
"LINC02147",0.000653200012184685,2.16708130756579,1,0.857,1
"IGHM",0.000662213657838586,-1.9510507002255,0.333,0.857,1
"PTTG1IP",0.000662453792228163,-1.62862594954601,0.889,0.981,1
"TFEC",0.00066575315008929,-1.6561579812627,0.556,0.848,1
"HEXA",0.000685625826966376,-1.72929686963473,0.556,0.943,1
"VMP1",0.000688403881799408,1.06471569816204,1,0.971,1
"ING2",0.000697406437221911,-1.66600499588057,0.333,0.781,1
"PLXDC2",0.000698543534897102,3.32668670984817,0.778,0.505,1
"ANXA6",0.000711447743753373,-0.856656053514896,0.444,0.943,1
"ZNF121",0.000711447743753373,-1.86925593772449,0.667,0.924,1
"MT-CYB",0.000715367618738487,-1.45059993784857,1,1,1
"CCDC27",0.000716672442224805,3.57226605522589,0.111,0,1
"EPHA2",0.000716672442224805,3.54807883056218,0.111,0,1
"ECE1-AS1",0.000716672442224805,3.55812745203076,0.111,0,1
"RP11-293P20.2",0.000716672442224805,3.60367121190658,0.111,0,1
"ZNF683",0.000716672442224805,3.54807883056218,0.111,0,1
"RP11-242O24.3",0.000716672442224805,4.65340013026689,0.111,0,1
"SERINC2",0.000716672442224805,3.54807883056218,0.111,0,1
"LINC02794",0.000716672442224805,3.62144587567944,0.111,0,1
"C8A",0.000716672442224805,3.54807883056218,0.111,0,1
"LINC01359",0.000716672442224805,3.89644948596237,0.111,0,1
"LINC01555",0.000716672442224805,4.08023557977569,0.111,0,1
"RP11-366L18.2",0.000716672442224805,3.55849433202144,0.111,0,1
"MIR137HG",0.000716672442224805,3.55507426717935,0.111,0,1
"PLPPR4",0.000716672442224805,3.54807883056218,0.111,0,1
"S1PR1",0.000716672442224805,3.82496435867959,0.111,0,1
"GSTM1",0.000716672442224805,3.5583609491013,0.111,0,1
"H3-2",0.000716672442224805,3.59730518100903,0.111,0,1
"SELENBP1",0.000716672442224805,3.60367121190658,0.111,0,1
"RP11-66D17.3",0.000716672442224805,3.57700322057112,0.111,0,1
"CRABP2",0.000716672442224805,3.54807883056218,0.111,0,1
"FCRL4",0.000716672442224805,3.54787704633871,0.111,0,1
"TEX35",0.000716672442224805,3.57302267326689,0.111,0,1
"RP5-1098D14.1",0.000716672442224805,3.57302267326689,0.111,0,1
"B3GALT2",0.000716672442224805,3.5583609491013,0.111,0,1
"DYRK3-AS1",0.000716672442224805,4.79778320509706,0.111,0,1
"PIGR",0.000716672442224805,3.62144587567944,0.111,0,1
"RP5-879K22.2",0.000716672442224805,3.55812745203076,0.111,0,1
"LPGAT1-AS1",0.000716672442224805,3.82118155327557,0.111,0,1
"GJC2",0.000716672442224805,3.60367121190658,0.111,0,1
"LINC01247",0.000716672442224805,3.54807883056218,0.111,0,1
"AC092635.1",0.000716672442224805,3.5583609491013,0.111,0,1
"SPTBN1-AS1",0.000716672442224805,3.54807883056218,0.111,0,1
"LINC01805",0.000716672442224805,3.60367121190658,0.111,0,1
"AC016700.2",0.000716672442224805,4.9440440920509,0.111,0,1
