Subset,Detail
GMP_LMPP_Progenitors,MBD6
GMP_LMPP_Progenitors,RAP1B
GMP_LMPP_Progenitors,LINC01619
GMP_LMPP_Progenitors,TMPO
GMP_LMPP_Progenitors,MED13L
GMP_LMPP_Progenitors,RP11-497G19.1
GMP_LMPP_Progenitors,P2RX4
GMP_LMPP_Progenitors,SLC7A1
GMP_LMPP_Progenitors,PCCA-DT
GMP_LMPP_Progenitors,APEX1
GMP_LMPP_Progenitors,PSMB5
GMP_LMPP_Progenitors,NEDD8
GMP_LMPP_Progenitors,NIN
GMP_LMPP_Progenitors,PSMC6
GMP_LMPP_Progenitors,EIF2S1
GMP_LMPP_Progenitors,AHSA1
GMP_LMPP_Progenitors,PLD4
GMP_LMPP_Progenitors,NOP10
GMP_LMPP_Progenitors,ZFYVE19
GMP_LMPP_Progenitors,CCNB2
GMP_LMPP_Progenitors,RPS27L
GMP_LMPP_Progenitors,PKM
GMP_LMPP_Progenitors,ARIH1
GMP_LMPP_Progenitors,SCAMP2
GMP_LMPP_Progenitors,SEC11A
GMP_LMPP_Progenitors,CRTC3-AS1
GMP_LMPP_Progenitors,POLR3K
GMP_LMPP_Progenitors,SNRNP25
GMP_LMPP_Progenitors,METTL26
GMP_LMPP_Progenitors,MRPS34
GMP_LMPP_Progenitors,PKMYT1
GMP_LMPP_Progenitors,ATF7IP2
GMP_LMPP_Progenitors,CTD-3088G3.8
GMP_LMPP_Progenitors,CTB-193M12.5
GMP_LMPP_Progenitors,USP31
GMP_LMPP_Progenitors,TUFM
GMP_LMPP_Progenitors,DCTPP1
GMP_LMPP_Progenitors,MIR762HG
GMP_LMPP_Progenitors,PYCARD
GMP_LMPP_Progenitors,CKLF
GMP_LMPP_Progenitors,CYB5B
GMP_LMPP_Progenitors,NFAT5
GMP_LMPP_Progenitors,CMIP
GMP_LMPP_Progenitors,PITPNA
GMP_LMPP_Progenitors,ELP5
GMP_LMPP_Progenitors,PIK3R5
GMP_LMPP_Progenitors,COX10
GMP_LMPP_Progenitors,HEXIM1
GMP_LMPP_Progenitors,NME2
GMP_LMPP_Progenitors,DCXR
GMP_LMPP_Progenitors,TICAM1
GMP_LMPP_Progenitors,FARSA
GMP_LMPP_Progenitors,NDUFA13
GMP_LMPP_Progenitors,RASGRP4
GMP_LMPP_Progenitors,FKBP1A
GMP_LMPP_Progenitors,MHENCR
GMP_LMPP_Progenitors,RANBP1
GMP_LMPP_Progenitors,RAC2
GMP_LMPP_Progenitors,MFNG
GMP_LMPP_Progenitors,PLXNB2
GMP_LMPP_Progenitors,HSD17B10
GMP_LMPP_Progenitors,IL2RG
GMP_LMPP_Progenitors,BEX4
GMP_LMPP_Progenitors,NXT2
GMP_LMPP_Progenitors,MT-ND2
GMP_LMPP_Progenitors,MT-ATP6
GMP_LMPP_Progenitors,MT-ND3
LMPP_Progenitors,ICMT
LMPP_Progenitors,PARK7
LMPP_Progenitors,RP4-635E18.7
LMPP_Progenitors,MFN2
LMPP_Progenitors,TMEM51
LMPP_Progenitors,LINC00339
LMPP_Progenitors,KDM1A
LMPP_Progenitors,GALE
LMPP_Progenitors,TMEM50A
LMPP_Progenitors,TMEM222
LMPP_Progenitors,DNAJC8
LMPP_Progenitors,TAF12
LMPP_Progenitors,PUM1
LMPP_Progenitors,SYNC
LMPP_Progenitors,KIAA1522
LMPP_Progenitors,RP11-415J8.3
LMPP_Progenitors,NCDN
LMPP_Progenitors,TFAP2E
LMPP_Progenitors,PSMB2
LMPP_Progenitors,MAP7D1
LMPP_Progenitors,LSM10
LMPP_Progenitors,RP11-416A14.2
LMPP_Progenitors,YBX1
LMPP_Progenitors,EBNA1BP2
LMPP_Progenitors,IPO13
LMPP_Progenitors,B4GALT2
LMPP_Progenitors,CCDC24
LMPP_Progenitors,RNF220
LMPP_Progenitors,CZIB
LMPP_Progenitors,LRP8
LMPP_Progenitors,SSBP3
LMPP_Progenitors,USP24
LMPP_Progenitors,TM2D1
LMPP_Progenitors,AK4
