,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
149,FLAD1,27.30747618,2.760661419,0.964642782,2.861848416,0.004211783,0.027915806
150,MTX1,31.45225854,1.967838717,0.744611687,2.642771732,0.008223045,0.044065625
151,SCAMP3,48.88512757,4.319760671,0.701274279,6.159873247,7.28032E-10,2.47852E-07
152,FDPS,174.2621767,1.342413528,0.439671074,3.053222298,0.002263982,0.018173084
153,RP11-29H23.8,5.562654265,4.27263116,1.587997558,2.690577917,0.007132838,0.039827763
154,DAP3,114.5536017,2.35342882,0.624138831,3.770681624,0.000162802,0.002795899
155,SYT11,14.96986702,5.475264226,1.36502622,4.011105536,6.04351E-05,0.001347854
156,LAMTOR2,46.89213076,1.864767264,0.639099158,2.917805852,0.003525038,0.024624206
157,CCT3,119.3704944,1.912857932,0.44808927,4.268921529,1.9642E-05,0.0006195
158,TTC24,8.743043789,5.135311645,1.346576368,3.813605948,0.000136954,0.002446446
159,ISG20L2,44.55102129,3.34415578,0.854203396,3.914940861,9.04264E-05,0.001776895
160,MRPL24,52.67215018,2.489829074,0.784286151,3.174643681,0.001500206,0.013727181
161,DUSP23,70.94285132,2.235718269,0.806516135,2.772068869,0.005570125,0.033878306
162,IGSF8,3.216931151,3.446859603,1.258891889,2.738010811,0.006181204,0.035983361
163,NCSTN,18.51904425,2.471843102,0.726186679,3.403867317,0.00066439,0.007690316
