"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL01-15J-516-REL",8.93123558002456,"Pass",3.89908194541931,2.74798607826233,"MPP-MkEry",0.566666666666667,0.3565203
"S2PL01-15L-516-REL",7.34717910584404,"Pass",2.26648950576782,2.78494262695312,"HSC",0.466666666666667,0.1361493
"S2PL01-15N-516-REL",11.7516332601286,"Pass",1.61761045455933,10.7975063323975,"Basophilic Erythroblast",0.266666666666667,15.44151
"S2PL01-15P-516-REL",8.87926894123733,"Pass",2.94615650177002,3.52323794364929,"MPP-MkEry",0.533333333333333,0.17054255
"S2PL01-17B-516-REL",16.9554943336402,"Pass",2.94579148292542,2.79089999198914,"MPP-MyLy",0.466666666666667,0.3444604
"S2PL01-17D-516-REL",10.1978727431509,"Pass",2.61355972290039,3.65747261047363,"HSC",0.833333333333333,0.0082452925
"S2PL01-17F-516-REL",9.06793917484035,"Pass",2.28101491928101,2.35273098945618,"HSC",0.5,0.08349627
"S2PL01-17H-516-REL",6.79077235241614,"Pass",3.38441205024719,2.58582067489624,"Cycling Progenitor",0.533333333333333,2.489759e-08
"S2PL01-17J-516-REL",15.8716308046448,"Pass",6.72586965560913,5.9195384979248,"EoBasoMast Precursor",1,6.150229
"S2PL01-17L-516-REL",5.7522251624745,"Pass",3.32471585273743,12.1957359313965,"Pro-Erythroblast",0.533333333333333,13.97157
"S2PL01-17N-516-REL",18.1052523412878,"Pass",6.77089071273804,5.92558431625366,"EoBasoMast Precursor",1,6.150229
"S2PL01-17P-516-REL",5.99666461736466,"Pass",2.45486426353455,11.1477327346802,"Basophilic Erythroblast",1,15.526105
"S2PL01-19B-516-REL",10.6349347927499,"Pass",6.53727006912231,5.87266731262207,"EoBasoMast Precursor",1,6.22799928899876
"S2PL01-19D-516-REL",5.37406078925565,"Pass",2.554527759552,11.9583005905151,"Basophilic Erythroblast",1,15.83612
"S2PL01-19F-516-REL",8.14593451624486,"Pass",8.22603130340576,-2.07128024101257,"Early GMP",0.387096774193548,8.38188
"S2PL01-19H-516-REL",6.39261112812281,"Pass",3.59449434280396,11.6835842132568,"Pro-Erythroblast",0.833333333333333,14.099265
"S2PL01-19J-516-REL",17.5181320702486,"Pass",7.00194215774536,5.84210681915283,"EoBasoMast Precursor",1,6.150229
"S2PL01-19L-516-REL",18.2143380438301,"Pass",6.64370679855347,5.9168701171875,"EoBasoMast Precursor",1,6.150229
"S2PL01-19P-516-REL",17.4162477527384,"Pass",-10.6555223464966,-2.68176174163818,"NK CD56high",0.333333333333333,0
"S2PL01-23B-NOC156",8.05437428979112,"Pass",1.55616307258606,-2.27594971656799,"Pre-ProB",0.966666666666667,6.6670595
"S2PL01-23D-NOC156",6.89079223829757,"Pass",4.46439695358276,5.31411600112915,"MEP",1,2.815937
"S2PL01-23F-NOC156",11.9667837306208,"Pass",6.3353476524353,-3.84455943107605,"GMP-Mono",0.9,9.330118
"S2PL01-23H-NOC156",6.86870679292058,"Pass",1.71246552467346,3.42233443260193,"HSC",0.966666666666667,0.078897315
"S2PL01-23J-NOC156",8.45005594543736,"Pass",1.61963045597076,3.33998489379883,"HSC",1,0.004234351
"S2PL01-23L-NOC156",7.24248032524558,"Pass",1.70186519622803,2.9741940498352,"HSC",1,0.0354875753943278
"S2PL01-23N-NOC156",8.50279945616209,"Pass",2.20572590827942,3.13346695899963,"HSC",0.966666666666667,0.02183931
"S2PL02-01A-516-REL",10.7855502580605,"Pass",3.59527111053467,3.36975383758545,"MPP-MkEry",0.833333333333333,0.45842951161495
"S2PL02-01C-516-REL",13.6481160693954,"Pass",4.55314540863037,5.15067863464355,"MEP",0.933333333333333,2.48267
"S2PL02-01E-516-REL",11.0022559344185,"Pass",2.7737193107605,4.10179567337036,"MPP-MkEry",0.5,0.4960811
"S2PL02-01G-516-REL",8.32420260778764,"Pass",2.80448079109192,6.99938201904297,"Megakaryocyte Precursor",1,8.5348645
"S2PL02-01I-516-REL",6.56794152337146,"Pass",4.88849401473999,5.7593150138855,"MEP",0.5,3.86903126670093
"S2PL02-01K-516-REL",10.2647281571323,"Pass",3.58878135681152,3.22887825965881,"MPP-MkEry",0.9,0.030842275
"S2PL02-01M-516-REL",7.19444526382222,"Pass",5.70332670211792,8.47709560394287,"CFU-E",0.533333333333333,7.75639261529476
"S2PL02-01O-516-REL",7.67565976595908,"Pass",4.24236297607422,4.83444786071777,"MEP",0.866666666666667,1.84346449240844
"S2PL02-03A-516-REL",13.4397294883594,"Pass",3.5320029258728,3.02871489524841,"MPP-MkEry",0.566666666666667,0.2358234
"S2PL02-03C-516-REL",8.44447869394925,"Pass",2.1542112827301,2.6822988986969,"HSC",0.933333333333333,0.1547504
"S2PL02-03E-516-REL",9.13666865432957,"Pass",3.32462573051453,1.83405041694641,"LMPP",0.6,0.5381653
"S2PL02-03G-516-REL",8.23871465683255,"Pass",4.85168838500977,1.60495495796204,"Early GMP",0.4,2.9090905
"S2PL02-03I-516-REL",8.91622108335903,"Pass",1.88581120967865,2.88608980178833,"HSC",0.8,2.363295e-07
"S2PL02-03K-516-REL",7.35996973542559,"Pass",4.33466005325317,1.90098404884338,"LMPP",0.4,2.087791
"S2PL02-03M-516-REL",9.73634306823725,"Pass",2.52071475982666,2.26328158378601,"MPP-MyLy",0.7,0.056935
"S2PL02-03O-516-REL",8.31308621363972,"Pass",2.69639015197754,2.4850697517395,"MPP-MyLy",0.483870967741935,0.050556185
"S2PL02-05A-516-REL",8.44082874875994,"Pass",5.63989067077637,8.7600908279419,"CFU-E",0.633333333333333,8.5494785
"S2PL02-05C-516-REL",7.2275394550717,"Pass",4.15794277191162,1.3298248052597,"Early GMP",0.466666666666667,2.12827164599018
"S2PL02-05E-516-REL",10.5994733449849,"Pass",3.58881258964539,3.37895655632019,"MPP-MkEry",0.966666666666667,0.45240185
"S2PL02-05G-516-REL",7.13002568226959,"Pass",2.28681445121765,2.9611644744873,"HSC",0.7,0.1603804
